ID,modelling_mask,prediction_mask,Mean_LST,NDVI,Build_ANN12,Build_ANN23,Build_ANN34,Build,dist_centre,dist_water,eastness,elevation,glass,Hard_ANN12,Hard_ANN23,Hard_ANN34,hard,mixed,Nat_ANN12,Nat_ANN23,Nat_ANN34,nat,northness,slope
115978,0,1,15.43165708,0.150450882,0,3.146317959,7.648771286,0,3301.511719,30.00754356,-0.744088829,0.890004933,0,83.97260284,70.22529602,64.24503326,45,0,16.02739716,26.57269669,26.62626266,55,0.668080688,2.835097313
20249,1,1,12.29064167,0.778538212,0,0,0,0,3918.943848,3230.239258,-0.844064891,50.18532181,0,2.47222209,1.077777743,0.305555552,0,0,97.52777863,98.92222595,99.69444275,100,-0.536241114,1.924481988
107812,0,0,0,0.103782538,0,9.781401634,10.04327679,0,2838.053711,0,-0.017452391,-1.580000043,-3.40282E+38,100,89.17870331,84.2263031,0,-3.40282E+38,0,1.039897561,5.730423927,0,0.99984771,0
98490,1,1,17.34823728,0.63064754,19.52557945,21.61133194,24.16594315,6.027987003,2341.550049,551.6819458,-0.80426389,20.00312805,0,20.16129875,28.70348549,25.90165329,24.21958923,8.826694489,15.91213512,5.10459137,4.448961258,60.92572403,0.594272316,4.491530418
44317,1,1,17.51047325,0.52623944,15.61111164,14.79380035,11.48929691,25.66666603,3397.087158,1592.945557,0.182879806,21.34566116,0,14.7129631,19.33855438,22.86564446,0,74.33333588,15.83333397,16.79333687,22.2772274,0,0.983135283,0.291657209
106899,1,1,17.02020669,0.233662598,5.420333385,5.63778162,0.814496577,10.32186413,3777.853271,161.5955658,-0.983199596,3.590927839,0,64.86067963,68.03907776,65.71769714,64.15093994,0,29.71898651,26.32314301,33.46780396,25.52719307,0.182533607,0.581480265
86401,1,1,19.26280499,0.095953707,0.092592597,1.077777863,0.730346859,0,3026.15332,416.8781128,-0.078373522,3.899122477,0,99.89814758,97.88815308,92.24048615,100,0,0.009259259,1.034070373,6.215239048,0,0.996923983,0.492715567
84990,1,1,18.52676463,0.424162127,22.27495384,15.21421337,12.00136471,28.66666603,6778.318359,161.5955658,0.318547398,3.839924812,0,15.8637886,13.91667557,11.07839584,15.11111069,49.88888931,4.307419777,20.30426979,46.0201149,6.333333015,-0.947906911,0.21724686
36569,1,1,16.63152838,0.45150958,6.761002541,10.804286,10.82175827,0,2553.287598,524.9176025,0.593779087,9.093305588,0,47.32253265,39.2496109,36.34004593,58.66797256,0,29.07483482,20.86690331,16.96911621,40.45053864,-0.804628074,2.407582998
6974,1,1,16.98561597,0.496129595,0,0.344444454,1.627718925,0,5301.493164,4414.271973,0.208084702,62.03747559,0,48.01588821,29.21945572,26.11289787,100,0,51.98411179,68.24720764,70.09497833,0,-0.97811079,3.523529291
106534,0,1,19.93432975,0.139233148,7.08735466,14.56402969,21.850914,17.66666603,2723.422119,84.87415314,-0.813117385,3.479975939,0,83.56227875,72.85753632,68.52827454,82.33333588,0,9.350365639,12.57843113,9.243037224,0,-0.582099676,0.305348098
6175,0,1,11.5174607,0.773753971,0.129485771,0.300000012,3.318593025,0,4653.588379,3553.075684,-0.795850873,75.75445557,0,0.055187639,8.955071449,18.5304451,0,0,93.09339905,59.73937225,44.39902496,100,-0.605492592,4.517294884
24719,1,1,13.1047473,0.772141695,0,0,0.120370366,0,5269.379395,3183.912109,0.931178212,9.253866196,0,3.378386259,1.972222209,5.467592716,0,0,96.62161255,98.02777863,94.41204071,100,0.3645643,0.582900465
123926,1,1,16.67376471,0.645455152,13.2693119,8.022222519,9.3291502,13.66666698,5761.526367,1567.588989,-0.40176329,11.59658432,0,16.44716644,26.61620331,15.27767563,0,86.33333588,13.22175694,25.66428757,39.50342941,0,0.915743589,0.599233627
128413,1,1,12.55600846,0.760650665,0,0,0,0,4658.22998,324.5812073,0.808158517,5.727950573,0,0.589318633,1.135042071,1.760131717,0,0,99.06884766,98.6598587,98.23986816,100,-0.588964999,11.34378052
46845,1,1,17.89472651,0.473266326,18.08333397,16.01239014,17.46976089,21.33333397,2467.196777,630.8724976,-0.084863737,12.52045059,0,20.32407379,20.94610024,21.11690521,0,78.66667175,4.407407761,9.45579052,3.450242996,0,0.996392488,4.325588226
52793,1,1,13.65089166,0.744337335,0,0.621780813,4.738805294,0,1537.13623,120.0301743,-0.88074863,2.758123159,0,2.517292261,10.45950127,13.01388264,3.555555582,0,97.48271179,87.99708557,77.17403412,96.44444275,0.473584086,1.230609298
11161,1,1,13.01755869,0.757815033,0,0,0,0,6811.77832,2723.422119,-0.085608304,35.56607056,0,0,0,0.013888889,0,0,100,100,99.9861145,100,0.99632889,5.773222446
118321,1,1,11.95063579,0.794018552,0,0,0,0,6855.919434,1790.925049,0.773715615,28.19002342,0,0,0,0,0,0,100,100,100,100,0.63353312,1.983322382
66553,0,1,13.85333037,0.693711296,3.149909973,0.886718988,4.96615696,22.53052139,3848.460205,2687.309082,-0.685861528,79.9901886,0,9.038187981,8.429824829,10.48711681,19.64484024,0,87.52497864,84.27275085,67.44876099,57.60265732,-0.727732122,2.815354109
114056,1,1,13.78604686,0.738575995,0,0,0,0,6578.773438,1456.834595,0.092127517,20.37068558,0,0,0,0,0,0,100,100,100,100,0.995747209,1.313472986
58192,1,1,15.85220897,0.666597202,8.204133034,6.620326519,9.523636818,7.111111164,3690.927979,1861.435425,0.99921447,12.32791519,0,12.91590786,15.8750515,20.43841171,14,22.88888931,55.11319351,56.27006531,43.0395546,56,0.039629269,4.953680992
